21,2200,37283,30305,39640,41024,14798,50811,65533,438,560,41684,65534,40368,14798,50817,36760,7838,59000,24099,24085,41813,65480,3606,2908,20371,1382,41792,23448,65480,24752,24066,41808,20353,19848,13151,65304,27119,27176,24320,4853,4696,4869,27288,27063,24607,18408,13702,65375,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,2310,38578,30039,39056,42331,14795,50804,65533,438,560,42985,65534,41681,14795,50809,38099,7378,58171,22802,24100,41859,65480,3606,2908,20346,1382,43077,22160,65480,23448,24082,41854,20328,21106,12084,65116,27090,27230,24387,4853,4696,4869,27251,27110,24667,19601,12615,65215,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,2420,39861,29803,38445,43626,14793,50796,65533,438,560,44268,65534,42983,14792,50802,39430,6970,57301,21524,24113,41908,65480,3606,2908,20317,1382,44343,20893,65480,22160,24096,41901,20303,22383,11052,64869,27072,27289,24465,4853,4696,4869,27229,27168,24742,20815,11564,64998,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,2530,41131,29595,37804,44898,14791,50787,65533,438,560,45530,65534,44266,14790,50793,40749,6608,56388,20268,24123,41958,65480,3606,2908,20271,1382,45584,19649,65480,20893,24108,41951,20264,23681,10058,64569,27056,27351,24550,4853,4696,4869,27212,27229,24825,22048,10549,64727,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,2640,42387,29417,37138,46149,14790,50779,65533,438,560,46772,65534,45528,14789,50785,42054,6293,55433,19035,24130,42010,65480,3606,2908,20218,1382,46802,18426,65480,19648,24117,42002,20212,24995,9099,64213,27047,27415,24642,4853,4696,4869,27199,27291,24913,23297,9570,64398,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,2750,43626,29270,36450,47380,14789,50770,65533,438,560,47990,65534,46768,14788,50776,43345,6030,54443,17823,24135,42063,65480,3606,2908,20172,1382,47996,17228,65480,18425,24123,42054,20163,26323,8181,63805,27049,27488,24745,4853,4696,4869,27195,27359,25011,24563,8632,64016,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,2860,44846,29155,35738,48586,14789,50761,65533,438,560,49182,65534,47988,14787,50767,44618,5818,53420,16637,24137,42118,65480,3606,2908,20123,1382,49164,16056,65480,17227,24126,42108,20117,27661,7304,63342,27055,27561,24854,4853,4696,4869,27200,27433,25120,25838,7735,63580,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28,2970,46044,29063,35003,49768,14788,50751,65533,438,560,50345,65534,49177,14787,50758,45871,5653,52358,15479,24137,42174,65480,3606,2908,20062,1382,50304,14913,65480,16056,24127,42164,20062,29010,6469,62827,27061,27631,24965,4853,4696,4869,27206,27505,25232,27122,6879,63089,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
29,3080,47219,29010,34245,50911,14789,50742,65533,438,560,51477,65534,50345,14787,50748,47102,5541,51261,14351,24134,42232,65480,3606,2908,19996,1382,51416,13800,65480,14913,24125,42221,19994,30368,5679,62258,27072,27702,25079,4853,4696,4869,27213,27575,25345,28419,6068,62551,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30,3190,48369,28991,33468,52023,14790,50732,65533,438,560,52579,65534,51470,14788,50739,48307,5486,50135,13253,24128,42290,65480,3606,2908,19945,1382,52497,12717,65480,13799,24121,42279,19939,31729,4942,61637,27089,27777,25202,4853,4696,4869,27228,27649,25466,29718,5302,61958,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,3300,49487,29004,32666,53114,14791,50722,65533,438,560,53647,65534,52572,14789,50729,49488,5480,48980,12184,24119,42350,65480,3606,2908,19890,1382,53550,11666,65480,12716,24114,42339,19887,33091,4246,60968,27106,27847,25324,4853,4696,4869,27247,27723,25591,31020,4586,61313,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
