0000000060,0000015364,001457,-18609,000066,006482,-15704,014769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000061,0000015625,001560,-17374,-00130,008364,-15972,013047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000062,0000015885,001637,-15986,-00318,010154,-16086,011173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000063,0000016145,001689,-14471,-00494,011837,-16020,009204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000064,0000016406,001704,-12827,-00652,013359,-15785,007197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000065,0000016666,001728,-11151,-00798,014730,-15394,005173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000066,0000016927,001752,-09460,-00950,015957,-14839,003111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000067,0000017187,001752,-07715,-01107,017031,-14153,001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000068,0000017447,001742,-05758,-01242,017965,-13344,-01120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000069,0000017708,001685,-03535,-01367,018788,-12437,-03300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000070,0000017968,001627,-01419,-01471,019474,-11421,-05480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000071,0000018229,001555,000635,-01554,020005,-10295,-07612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000072,0000018489,001453,002695,-01635,020318,-09063,-09647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000073,0000018750,001339,004768,-01685,020411,-07713,-11572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000074,0000019010,001206,006889,-01729,020240,-06263,-13385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000075,0000019270,001066,008937,-01752,019830,-04751,-15022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000076,0000019531,000957,010817,-01784,019234,-03211,-16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000077,0000019791,000813,012435,-01785,018460,-01680,-17836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000078,0000020052,000643,014058,-01764,017542,-00165,-18976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000079,0000020312,000450,015794,-01732,016502,001353,-19947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000080,0000020572,000268,017301,-01678,015324,002873,-20776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000081,0000020833,000128,018320,-01619,013974,004410,-21456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000082,0000021093,-00023,019223,-01546,012451,005929,-21939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000083,0000021354,-00206,019996,-01430,010788,007397,-22212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000084,0000021614,-00391,020647,-01300,009015,008801,-22253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000085,0000021875,-00563,021214,-01181,007141,010106,-22019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000086,0000022135,-00702,021273,-01055,005244,011270,-21539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000087,0000022395,-00838,021314,-00909,003313,012321,-20850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000088,0000022656,-00999,021196,-00741,001370,013234,-19969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000089,0000022916,-01163,020997,-00565,-00575,014036,-18937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000090,0000023177,-01299,020598,-00394,-02539,014718,-17732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000091,0000023437,-01394,019731,-00219,-04510,015282,-16348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000092,0000023697,-01461,018545,-00053,-06465,015707,-14782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000093,0000023958,-01557,017315,000119,-08341,015977,-13048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000094,0000024218,-01653,016133,000316,-10144,016092,-11179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000095,0000024479,-01705,014783,000479,-11822,016026,-09216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000096,0000024739,-01716,012929,000634,-13353,015779,-07211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000097,0000025000,-01720,011093,000779,-14734,015390,-05198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000098,0000025260,-01749,009480,000945,-15958,014838,-03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000099,0000025520,-01770,007686,001107,-17027,014159,-01041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0000025781,-01735,005777,001247,-17950,013364,001074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000101,0000026041,-01687,003456,001359,-18760,012457,003240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000102,0000026302,-01611,001366,001467,-19438,011446,005422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000103,0000026562,-01543,-00592,001550,-19964,010312,007572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000104,0000026822,-01462,-02579,001629,-20301,009076,009622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000105,0000027083,-01339,-04767,001676,-20406,007728,011562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000106,0000027343,-01203,-06933,001722,-20246,006276,013360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000107,0000027604,-01066,-09119,001755,-19835,004778,014979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000108,0000027864,-00953,-10630,001791,-19229,003250,016454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000109,0000028125,-00821,-12313,001787,-18447,001711,017764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000110,0000028385,-00650,-14069,001771,-17531,000187,018912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000111,0000028645,-00456,-15889,001725,-16491,-01345,019930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000112,0000028906,-00272,-17207,001671,-15333,-02867,020793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000113,0000029166,-00138,-18250,001607,-14004,-04399,021501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000114,0000029427,000019,-19078,001526,-12512,-05907,022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000115,0000029687,000204,-19864,001427,-10866,-07368,022260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000116,0000029947,000394,-20539,001298,-09077,-08763,022275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000117,0000030208,000559,-21082,001173,-07200,-10050,022003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000118,0000030468,000680,-21313,001056,-05278,-11219,021490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000119,0000030729,000821,-21401,000917,-03331,-12270,020788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000120,0000030989,000993,-21305,000752,-01372,-13200,019918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000121,0000031250,001161,-21055,000571,000565,-14009,018911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000122,0000031510,001299,-20562,000390,002519,-14709,017736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000123,0000031770,001385,-19782,000224,004475,-15274,016390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000124,0000032031,001470,-18689,000064,006421,-15705,014841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
